,type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
1605,0.0,73.0,3,4,3,1.0,1174.0,1,0,1,0.0,0.0,3.9
1606,0.0,107.0,2,3,2,3.0,1502.0,0,0,0,1.0,2.0,0.7
1607,0.0,109.0,3,4,2,3.0,1475.0,0,0,1,2.0,1.0,1.7
1608,0.0,82.0,3,3,2,3.0,1428.0,0,0,1,2.0,2.0,1.4
1609,0.0,67.0,1,1,1,2.0,672.0,0,0,0,2.0,1.0,0.47
1610,0.0,37.0,4,5,3,0.0,3406.0,1,0,0,1.0,2.0,5.5
1611,0.0,100.0,3,3,3,3.0,1833.0,1,0,1,2.0,0.0,0.9
1612,1.0,48.0,1,1,0,3.0,1535.0,0,0,1,1.0,1.0,1.16
1613,0.0,79.0,3,3,2,3.0,200.0,0,0,1,1.0,1.0,1.2
1614,0.0,82.0,3,3,2,3.0,1428.0,0,0,1,1.0,1.0,1.7
1615,0.0,101.0,2,2,3,3.0,1400.0,0,0,1,1.0,0.0,1.4
1616,0.0,113.0,3,5,3,3.0,1750.0,1,0,1,1.0,1.0,1.08
1617,1.0,55.0,5,8,3,3.0,4500.0,1,1,2,0.0,1.0,17.0
1618,0.0,20.0,3,4,3,4.0,2104.0,1,0,1,1.0,0.0,1.65
1619,0.0,107.0,4,4,3,3.0,2005.0,0,0,1,1.0,1.0,1.75
1620,0.0,80.0,3,3,3,1.0,1551.0,1,1,0,0.0,2.0,1.8
1621,1.0,16.0,4,5,3,0.0,6230.04,0,0,1,2.0,1.0,6.0
1622,1.0,57.0,7,6,3,0.0,1732.36,0,0,2,2.0,2.0,4.6
1623,0.0,64.0,3,4,3,2.0,2683.0,0,0,1,2.0,1.0,6.5
1624,0.0,47.0,3,3,3,3.0,1595.0,0,0,1,1.0,1.0,1.27
1625,0.0,79.0,3,3,3,3.0,2095.0,1,0,0,0.0,0.0,2.87
1626,1.0,83.0,4,4,2,2.0,345.0,0,1,1,1.0,1.0,2.43
1627,0.0,40.0,2,2,1,3.0,570.0,0,0,2,1.0,1.0,0.22
1628,0.0,93.0,2,2,3,1.0,1700.0,0,0,2,1.0,2.0,0.83
1629,0.0,101.0,2,2,2,3.0,1934.0,0,0,0,1.0,0.0,1.25
1630,0.0,82.0,3,3,3,3.0,1640.0,0,0,1,1.0,0.0,2.07
1631,1.0,35.0,5,5,3,2.0,3238.76,1,1,0,2.0,1.0,12.5
1632,0.0,79.0,3,3,3,3.0,2047.0,0,0,0,0.0,1.0,2.65
1633,0.0,105.0,2,2,2,4.0,1441.0,0,0,1,1.0,2.0,0.8
1634,0.0,86.0,1,1,0,1.0,683.0,0,0,1,2.0,2.0,0.9
1635,0.0,82.0,3,3,2,3.0,1428.0,0,0,1,2.0,1.0,1.4
1636,1.0,58.0,4,4,2,3.0,2334.92,1,0,0,1.0,1.0,5.5
1637,0.0,9.0,2,2,3,3.0,1238.0,0,0,1,1.0,1.0,1.41
1638,0.0,48.0,3,3,3,3.0,1692.0,0,0,1,1.0,0.0,1.5
1639,0.0,105.0,2,2,3,1.0,1233.0,0,0,1,2.0,1.0,1.0
1640,0.0,82.0,3,3,2,3.0,1428.0,0,0,0,0.0,2.0,1.55
1641,1.0,54.0,1,1,0,2.0,1936.8,0,0,1,1.0,1.0,5.5
1642,0.0,100.0,2,2,1,3.0,532.0,0,0,1,2.0,2.0,0.37
1643,0.0,43.0,2,2,2,3.0,724.0,0,0,2,1.0,1.0,0.4
1644,0.0,43.0,3,2,3,1.0,1409.0,0,0,1,1.0,0.0,1.35
1645,0.0,107.0,3,3,3,3.0,1630.0,0,0,0,2.0,0.0,1.17
1646,0.0,9.0,3,4,3,3.0,1757.0,1,0,0,2.0,0.0,1.75
1647,0.0,105.0,3,2,3,0.0,1403.0,0,1,0,2.0,2.0,1.55
1648,0.0,5.0,3,3,3,0.0,1900.0,1,0,1,2.0,1.0,0.86
1649,0.0,111.0,2,2,0,1.0,990.0,0,0,1,1.0,2.0,0.46
1650,0.0,58.0,3,4,3,0.0,2574.0,0,0,1,1.0,1.0,2.75
1651,0.0,111.0,3,4,3,1.0,1964.0,1,0,1,1.0,2.0,2.0
1652,0.0,108.0,3,3,3,3.0,2578.0,0,0,2,1.0,1.0,1.8
1653,0.0,107.0,4,4,3,3.0,2468.0,1,0,1,2.0,0.0,1.75
1654,0.0,93.0,2,2,2,3.0,1556.0,1,1,2,2.0,2.0,1.4
1655,0.0,115.0,2,2,3,0.0,1100.0,0,0,0,0.0,2.0,0.9
1656,1.0,65.0,4,4,3,0.0,1452.6,1,0,0,1.0,1.0,3.75
1657,1.0,59.0,5,4,2,1.0,4500.0,0,0,1,1.0,1.0,6.75
1658,1.0,23.0,5,5,2,2.0,1350.0,0,0,1,1.0,1.0,2.0
1659,0.0,5.0,2,2,3,0.0,993.0,0,0,1,2.0,2.0,0.48
1660,0.0,87.0,4,4,3,1.0,4000.0,1,1,0,0.0,1.0,5.0
1661,0.0,47.0,2,2,3,0.0,1068.1,0,0,0,2.0,1.0,0.78
1662,0.0,101.0,2,2,3,3.0,1380.0,0,1,1,2.0,0.0,1.2
1663,1.0,53.0,1,1,0,0.0,1200.0,0,0,1,1.0,1.0,1.65
1664,0.0,105.0,2,2,2,1.0,1226.0,1,0,1,1.0,2.0,0.95
1665,0.0,38.0,2,2,2,4.0,1604.0,0,0,1,1.0,2.0,1.3
1666,1.0,38.0,2,2,1,0.0,810.0,0,0,1,1.0,1.0,0.55
1667,0.0,45.0,2,2,2,3.0,1479.0,0,0,1,2.0,0.0,2.3
1668,1.0,49.0,6,6,3,0.0,1839.96,1,0,1,1.0,1.0,3.9
1669,1.0,23.0,1,1,2,2.0,2000.0,0,0,1,1.0,1.0,1.7
1670,0.0,13.0,2,2,3,3.0,940.0,0,0,1,0.0,1.0,0.92
1671,0.0,65.0,4,5,3,3.0,3444.0,1,0,1,1.0,2.0,11.0
1672,0.0,13.0,1,1,1,3.0,567.0,0,0,1,2.0,2.0,0.39
1673,0.0,9.0,3,3,3,3.0,1315.0,1,0,0,2.0,2.0,1.3
